ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
80,Chau_Thanh,10.429212,105.141436,WS,D,27-03-2022,1.21,4711.472249543188
81,Chau_Phu,10.474439,105.216928,SA,T,15-07-2022,7.0,3602.381283767533
82,Chau_Thanh,10.443488,105.236111,WS,T,27-03-2022,1.65,8995.257992653165
83,Chau_Thanh,10.409367,105.355252,WS,T,25-03-2022,2.42,8052.07102113098
84,Thoai_Son,10.292156,105.361294,SA,T,12-07-2022,2.3,6947.862135356022
85,Chau_Phu,10.469839,105.211568,WS,T,01-04-2022,4.0,7193.081338098498
86,Thoai_Son,10.257436,105.217205,SA,T,22-07-2022,2.3,5633.189914480213
87,Chau_Phu,10.658291,105.127704,WS,T,10-04-2022,3.0,6381.58600894022
88,Chau_Thanh,10.407982,105.123304,WS,D,27-03-2022,2.75,4078.6734744242685
89,Thoai_Son,10.320684,105.272431,SA,T,20-07-2022,3.0,3917.9633133202324
90,Chau_Phu,10.501648,105.096892,WS,T,10-04-2022,1.2,7297.09920441723
91,Chau_Phu,10.490352,105.23065,WS,T,02-04-2022,4.0,6683.137979814549
92,Thoai_Son,10.34489,105.243935,WS,T,12-04-2022,2.3,5430.386983113049
93,Chau_Thanh,10.440557,105.250671,SA,T,28-07-2022,1.76,5432.913717661083
94,Thoai_Son,10.320371,105.259016,WS,T,13-04-2022,1.52,12310.61027704151
95,Thoai_Son,10.250745,105.24539,WS,T,20-04-2022,3.0,7845.76731707801
96,Chau_Thanh,10.435839,105.132981,SA,D,26-07-2022,1.21,3633.782539774128
97,Chau_Phu,10.529357,105.147388,WS,T,10-04-2022,2.0,8319.045362004443
98,Chau_Thanh,10.452537,105.205118,SA,T,20-07-2022,5.5,6704.428729961107
99,Chau_Thanh,10.394341,105.126836,SA,T,14-07-2022,4.4,3936.3141992556466
100,Chau_Phu,10.48065,105.130089,WS,T,10-04-2022,2.0,7009.2046113523065
