Latitude and Longitude,Class of Land,RVI,mean_rvi,min_rvi,max_rvi,std_rvi,Predicted Class
"(10.324635504740822, 105.25572266405916",Rice,"<xarray.DataArray (time: 45)>
array([0.8470921 , 0.55263966, 0.44275296, 0.55982196, 0.74886566,
       0.7017758 , 0.35028082, 0.31093037, 0.15958965, 0.23656358,
       0.6884722 , 0.82497793, 0.82604074, 0.4606354 , 1.2143748 ,
       1.3025969 , 0.6225444 , 1.0558423 , 0.87920225, 0.9239734 ,
       1.2537982 , 1.0377907 , 0.92616487, 0.41277823, 0.37600306,
       0.1662912 , 0.40860048, 0.35678303, 0.48948857, 0.6358898 ,
       0.4886461 , 1.1302714 , 0.93946344, 0.8156598 , 0.94945496,
       1.0284897 , 0.97675085, 0.7148806 , 0.43978888, 0.6545252 ,
       0.4274177 , 0.39045292, 0.51091325, 0.24952261, 0.36600515],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6634401, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.15958965)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.30259693)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.30245134)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.321001674103542, 105.2334654514068)",Rice,"<xarray.DataArray (time: 45)>
array([0.70067126, 0.8367324 , 0.2740113 , 0.33171824, 0.21527362,
       0.50804347, 0.09681449, 0.22839244, 0.43272027, 0.49795207,
       0.56187797, 0.5336986 , 0.88456845, 1.1357282 , 0.563848  ,
       1.0335476 , 0.7466361 , 0.6862528 , 0.98240334, 0.9930426 ,
       0.93055004, 0.65081286, 0.68979543, 0.5972991 , 0.7407743 ,
       0.12105768, 0.19097711, 0.71785045, 0.7085066 , 0.80816495,
       0.73428106, 0.99382913, 1.1364142 , 0.94930035, 0.8729688 ,
       0.8749628 , 0.99929225, 0.87254065, 0.7575261 , 0.7745218 ,
       0.73342633, 0.62290406, 0.69965637, 0.32315657, 0.4431025 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6708356, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.09681449)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.13641417)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.26892608)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.32327281825184, 105.26753261362978)",Rice,"<xarray.DataArray (time: 45)>
array([0.63040966, 0.9433372 , 0.82826877, 0.41592798, 0.3071106 ,
       0.7213144 , 0.38386637, 0.30819944, 0.235027  , 0.20227595,
       0.62290376, 0.5535941 , 0.97805727, 1.2073299 , 0.851006  ,
       1.114766  , 0.72478133, 0.5080153 , 1.129215  , 0.99898165,
       0.913079  , 0.8538645 , 0.8639819 , 0.62026143, 0.6629474 ,
       0.11010113, 0.16574174, 0.48435575, 0.653433  , 0.7150755 ,
       1.0014039 , 1.1136044 , 0.88961804, 0.80951524, 0.6840244 ,
       0.8579605 , 0.4768365 , 0.78308016, 0.97953737, 0.670505  ,
       0.34508526, 0.38034117, 0.6064471 , 0.5496824 , 0.37623695],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.67180246, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.11010113)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.20732987)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.27835739)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.324181275911162, 105.28115947851899)",Rice,"<xarray.DataArray (time: 45)>
array([0.6299808 , 0.6065899 , 0.3558634 , 0.43221155, 0.41456345,
       0.8017037 , 0.3129022 , 0.37256905, 0.4243874 , 0.19290209,
       0.84504396, 0.77472186, 1.1949067 , 0.9937651 , 0.74299794,
       0.8430726 , 0.6488652 , 0.5089914 , 1.0162005 , 0.7824669 ,
       0.79498696, 0.52463096, 0.7737768 , 0.8924251 , 0.546003  ,
       0.17268547, 0.1841596 , 0.49181515, 0.53778076, 0.68047434,
       0.84019196, 0.922593  , 1.0268155 , 1.0965637 , 0.8158    ,
       0.7595437 , 1.1354614 , 0.76852655, 0.693781  , 0.6041166 ,
       0.52413565, 0.48337942, 0.7803599 , 0.205658  , 0.24112166],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.65314424, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.17268547)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.19490671)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.26357365)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.321001674103542, 105.2598107235259)",Rice,"<xarray.DataArray (time: 45)>
array([0.64276665, 0.813216  , 0.6150255 , 0.43739575, 1.0709356 ,
       0.41381845, 0.3006059 , 0.5122156 , 0.12429062, 0.13194838,
       0.7878186 , 0.34901923, 0.7262616 , 0.91686857, 1.10509   ,
       1.3822272 , 0.935921  , 1.0374175 , 1.0833703 , 0.8572104 ,
       0.79787093, 0.9114961 , 0.69865763, 0.2582554 , 0.32097408,
       0.12796156, 0.14983012, 0.13760525, 0.13399848, 0.7612095 ,
       0.55372167, 0.99921364, 0.9063923 , 1.1712916 , 0.9938431 ,
       0.73180354, 1.0344908 , 0.7983669 , 0.30910236, 0.9249073 ,
       0.6613863 , 0.556776  , 0.43865436, 0.24738373, 0.4251859 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6509734, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.12429062)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.38222718)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.33412921)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.32327281825184, 105.24073311268103)",Rice,"<xarray.DataArray (time: 45)>
array([0.915716  , 0.5049276 , 0.7612372 , 0.5849629 , 0.47450307,
       0.554952  , 0.3877607 , 0.36649087, 0.16927022, 0.16194066,
       0.56093377, 0.54709435, 1.0945436 , 0.44577157, 1.2185556 ,
       0.91266656, 0.9890822 , 0.9713546 , 0.8992692 , 0.63435143,
       0.7546134 , 0.69062907, 0.45363063, 0.28292173, 0.33924884,
       0.12318102, 0.15236773, 0.293781  , 0.5082375 , 1.0179771 ,
       0.59572387, 0.9976456 , 1.0053312 , 1.0177817 , 0.93940485,
       0.7861044 , 1.0698075 , 0.8750927 , 0.568683  , 0.6820436 ,
       0.56904584, 0.7530778 , 0.3472706 , 0.38801113, 0.2056381 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6349475, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.12318102)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.21855557)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.29341578)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.324635504740822, 105.27843410554115)",Rice,"<xarray.DataArray (time: 45)>
array([0.46616468, 0.5734691 , 0.9458455 , 0.32099333, 0.37882945,
       0.35924402, 0.12912224, 0.27444863, 0.40094346, 0.41038406,
       0.4144449 , 0.31663728, 0.8586855 , 1.2220746 , 0.6765877 ,
       0.9028497 , 0.9736933 , 0.62087744, 0.90280044, 0.6512871 ,
       0.76133716, 0.5338536 , 0.6748558 , 0.37754917, 0.6896098 ,
       0.31619135, 0.32610515, 0.90838504, 0.54022557, 0.98201644,
       1.0976127 , 1.198501  , 1.120252  , 1.2548676 , 1.0080655 ,
       0.9572755 , 1.0532387 , 0.65274614, 0.66740835, 0.9032709 ,
       0.80048674, 0.40211743, 0.35510838, 0.18532279, 0.13351326],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6599844, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.12912224)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.25486755)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.31240073)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.324181275911162, 105.2348281378957)",Rice,"<xarray.DataArray (time: 45)>
array([0.7861735 , 0.9348456 , 0.7355262 , 0.3899249 , 0.6124507 ,
       0.2496683 , 0.5702207 , 1.1285415 , 0.2624214 , 0.23174085,
       0.6306525 , 0.64690286, 1.0727632 , 1.1321888 , 0.87280965,
       1.2154915 , 0.7819164 , 1.0134894 , 1.1477759 , 1.1215982 ,
       1.1665752 , 1.162881  , 0.7788363 , 0.22310077, 0.45870537,
       0.19455242, 0.15990107, 0.3345547 , 0.20750514, 0.8467155 ,
       0.88184565, 1.1813372 , 1.1208652 , 0.87907034, 0.79267746,
       1.032289  , 0.8294889 , 0.8998133 , 0.51234055, 0.65454865,
       0.5935541 , 0.6873491 , 0.37654415, 0.83554906, 0.52684337],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.73054546, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.15990107)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.21549153)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.31874493)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.321455902933202, 105.23301122257715)",Rice,"<xarray.DataArray (time: 45)>
array([1.0196412 , 0.63548464, 0.45774084, 0.2378727 , 0.3517848 ,
       0.550561  , 0.23639713, 0.27606046, 0.37618276, 0.5344239 ,
       0.8273493 , 0.38843352, 0.8438997 , 1.2003399 , 0.85655886,
       1.2069914 , 0.6813723 , 0.72889435, 1.1441624 , 0.79104936,
       1.0311993 , 1.0440259 , 0.7586095 , 0.5715539 , 0.6305619 ,
       0.07977227, 0.13865805, 0.52297777, 0.80182385, 0.7097589 ,
       0.7608282 , 0.8069206 , 0.89882916, 1.0215456 , 0.95253205,
       0.8754996 , 1.2632209 , 0.8871675 , 0.8916517 , 0.751319  ,
       0.657843  , 0.50378424, 0.6657181 , 0.2030627 , 0.27950358],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6900793, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.07977227)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.26322091)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.29892987)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.323727047081501, 105.26026495235556)",Rice,"<xarray.DataArray (time: 45)>
array([0.6186628 , 0.9132257 , 0.4680953 , 0.33640072, 0.46247506,
       0.648206  , 0.68698597, 0.7106459 , 0.18929419, 0.27587506,
       0.71597403, 0.76856905, 0.6443436 , 1.1138189 , 0.8692369 ,
       0.8679661 , 0.91922194, 0.95125514, 0.8648226 , 0.76111263,
       0.53916806, 0.9281717 , 0.6544777 , 0.31436902, 0.5740399 ,
       0.23878792, 0.39037716, 0.6911296 , 0.51785403, 1.1131841 ,
       0.65618235, 1.1891191 , 0.8423388 , 1.1432645 , 0.7254681 ,
       0.7950464 , 0.88708436, 0.92299247, 0.8780353 , 0.602891  ,
       0.50029653, 0.5440174 , 0.6664252 , 0.4119429 , 0.45925957],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6882691, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.18929419)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.1891191)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.24344967)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.325089733570481, 105.28025102085971)",Rice,"<xarray.DataArray (time: 45)>
array([0.5724625 , 0.6416709 , 0.65776527, 0.28398693, 0.2380093 ,
       0.6231749 , 0.31500742, 0.32241595, 0.83864903, 0.65399176,
       0.5701361 , 0.46911818, 1.2911354 , 1.2673454 , 0.7993666 ,
       1.114136  , 1.0337305 , 0.6106835 , 0.94240844, 0.86870104,
       0.6801451 , 0.4204578 , 0.61182964, 0.70835644, 0.8620846 ,
       0.11618137, 0.15649737, 0.50603217, 0.539033  , 0.6926002 ,
       0.4676051 , 1.080228  , 1.0770992 , 0.8907627 , 1.0896544 ,
       0.9560609 , 1.0405834 , 0.79482377, 0.77069753, 0.65946376,
       0.6851157 , 0.7118002 , 0.49062705, 0.16793345, 0.1260265 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.67590207, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.11618137)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.29113543)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.29906246)
Coordinates:
    spatial_ref  int32 4326",Rice
